Movie Name, IMDb Rating, Popularity, Release Date, Box Office, Runtime, Genre, Director, Cast, Production Company, Country, Language
The Kerala Story Bangla,6.5,,,,12 minutes,"['Short', 'Drama']",['Satyajit Das'],[],[],,['Bengali']
Generation Z,,,,,,"['Horror', 'Comedy']",[],"['Chris Reilly', 'Ellora Torchia', 'Viola Prettejohn']","['All3Media International', 'The Forge', 'Zweites Deutsches Fernsehen (ZDF)']",,[]
Criminal Justice: Adhura Sach,7.7,,"August 26, 2022 (India)",,45 minutes,"['Crime', 'Drama', 'Mystery']",[],"['Pankaj Tripathi', 'Swastika Mukherjee', 'Purab Kohli']","['Applause Entertainment Ltd.', 'BBC Studios']",India,['Hindi']
Madhil Mel Kaadhal,,,,,,['Romance'],['Anjana Ali Khan'],"['Mugen Rao', 'Divya Bharathi', 'Sakshi Agarwal']",[],,['Tamil']
Saawariya,5.2,,"November 9, 2007 (India)","$18,525,631",2 hours 22 minutes,"['Drama', 'Musical', 'Romance']",['Sanjay Leela Bhansali'],"['Ranbir Kapoor', 'Sonam Kapoor', 'Salman Khan']","['SPE Films', 'SLB Films Pvt. Ltd.']",,['Hindi']
Teri Baaton Mein Aisa Uljha Jiya,7.1,25,"February 9, 2024 (India)","$1,309,068",2 hours 21 minutes,"['Comedy', 'Drama', 'Romance']","['Amit Joshi', 'Aradhana Sah']","['Shahid Kapoor', 'Kriti Sanon', 'Dharmendra']","['Jio Studios', 'Maddock Films']",India,['Hindi']
Sadma,8.3,,"July 8, 1983 (India)",,2 hours 21 minutes,"['Drama', 'Romance']",['Balu Mahendra'],"['Kamal Haasan', 'Sridevi', 'Gulshan Grover']",[],India,['Hindi']
Bride & Prejudice,6.2,,"October 8, 2004 (India)","$24,716,440",2 hours 2 minutes,"['Comedy', 'Drama', 'Musical']",['Gurinder Chadha'],"['Martin Henderson', 'Aishwarya Rai Bachchan', 'Nadira Babbar']","['Pathé Pictures International', 'UK Film Council', 'Kintop Pictures']",,"['English', 'Hindi', 'Punjabi', 'Spanish']"
Sarfarosh,8.1,,"April 30, 1999 (India)","$288,733",2 hours 54 minutes,"['Action', 'Crime', 'Drama']",['John Mathew Matthan'],"['Naseeruddin Shah', 'Aamir Khan', 'Sonali Bendre']",[],India,['Hindi']
Eega,7.7,,"July 6, 2012 (India)",,2 hours 25 minutes,"['Action', 'Comedy', 'Drama']",['S.S. Rajamouli'],"['Sudeep', 'Nani', 'Samantha Ruth Prabhu']","['PVP Cinema', 'Vaarahi Chalana Chitram', 'Vel Records']",India,"['Telugu', 'Tamil']"
Who Am I,8.6,,"February 3, 2023 (India)",,1 hour 59 minutes,['Drama'],['Shireesh Khemariya'],"['Gaurav Kamble', 'Rishika Chandani', 'Mayank Jadhav']",[],India,['Hindi']
Conjuring Kannappan,6.1,,,"$20,978",2 hours 20 minutes,['Horror'],['Selvin Raj Xavier'],"['Sathish', 'Regina Cassandra', 'Nassar']",[],,"['Kannada', 'Malayalam', 'Telugu', 'Tamil']"
Maachis,7.7,,"October 25, 1996 (India)",,2 hours 40 minutes,"['Action', 'Crime', 'Drama']",['Gulzar'],"['Om Puri', 'Tabu', 'Chandrachur Singh']",[],India,['Hindi']
Vaalvi,8.3,,"January 13, 2023 (India)",$660,1 hour 46 minutes,"['Comedy', 'Drama', 'Thriller']",['Paresh Mokashi'],"['Swapnil Joshi', 'Anita Date-Kelkar', 'Namrata Awate Sambherao']","['Mayasabha Productions', 'Zee Studios']",India,['Marathi']
Arjun Reddy,7.9,,"August 25, 2017 (India)","$145,522",3 hours 2 minutes,"['Action', 'Drama', 'Romance']",['Sandeep Reddy Vanga'],"['Vijay Deverakonda', 'Shalini Pandey', 'Jia Sharma']",[],India,['Telugu']
Chamatkar,6.5,,"July 8, 1992 (India)",,2 hours 51 minutes,"['Comedy', 'Drama', 'Fantasy']",['Rajiv Mehra'],"['Naseeruddin Shah', 'Shah Rukh Khan', 'Urmila Matondkar']","['Eagle Films', 'United Producers']",India,['Hindi']
The Mistress of Spices,5.5,,"April 28, 2006 (India)","$1,337,846",1 hour 32 minutes,"['Drama', 'Romance']",['Paul Mayeda Berges'],"['Aishwarya Rai Bachchan', 'Dylan McDermott', 'Nitin Ganatra']","['Kintop Pictures', 'Balle Pictures', 'Capitol Films']",,['English']
Vela,8.2,,"November 10, 2023 (India)",,2 hours 28 minutes,"['Drama', 'Thriller']",['Syam Sasi'],"['Shane Nigam', 'Sunny Wayne', 'Aditi Balan']","['Badusha Productions', 'Cyn-Cyl Celluloid']",India,['Malayalam']
Taanakkaran,8.1,,"April 8, 2022 (India)",,2 hours 21 minutes,"['Drama', 'Sport']",['Tamizh'],"['Vikram Prabhu', 'Anbuarasan', 'M.S. Bhaskar']","['Dream Warrior Pictures', 'Potential Studios']",India,['Tamil']
Animal,6.3,41,"December 1, 2023 (India)","$92,870,227",3 hours 24 minutes,"['Action', 'Crime', 'Drama']",['Sandeep Reddy Vanga'],"['Ranbir Kapoor', 'Anil Kapoor', 'Bobby Deol']","['Bhadrakali Pictures', 'Cars on Film', 'Cine1 Studios']",India,['Hindi']
Khuda Haafiz,7.1,,"August 14, 2020 (India)",,2 hours 13 minutes,"['Action', 'Crime', 'Drama']",['Faruk Kabir'],"['Vidyut Jammwal', 'Shivaleeka Oberoi', 'Annu Kapoor']",[],India,['Hindi']
Shemale,6.1,,,,,['Drama'],[],"['Shobha Girdar', 'Abraham Khan', 'Gaurav Kumar']",[],,['Hindi']
Dhamaka,7.0,,"November 19, 2021 (India)",,1 hour 43 minutes,"['Action', 'Crime', 'Drama']","['Ram Madhvani', 'Heavenveer Singh Hayer']","['Kartik Aaryan', 'Mrunal Thakur', 'Amruta Subhash']","['Globalgate Entertainment', 'Lotte Entertainment', 'RSVP']",India,['Hindi']
Force,6.5,,"September 30, 2011 (India)","$5,310,437",2 hours 17 minutes,"['Action', 'Crime', 'Drama']",['Nishikant Kamat'],"['John Abraham', 'Genelia Deshmukh', 'Vidyut Jammwal']","['Fox STAR Studios', 'Sunshine Pictures', 'Cinema Capital Venture Fund']",India,"['Hindi', 'Punjabi', 'Marathi', 'English']"
